time,open,high,low,close,volume,filename,coin,minutelyInterval,ma50,ma100,ma200,position
2023-08-27 17:20:00,58.01,58.01,58.0,58.0,216.419,AAVEUSDT.json,AAVEUSDT,1,58.0,58.0,58.0,SELL
2023-08-27 17:21:00,58.01,58.03,58.01,58.02,38.466,AAVEUSDT.json,AAVEUSDT,1,58.010000000000005,58.010000000000005,58.010000000000005,SELL
2023-08-27 17:22:00,58.02,58.02,58.01,58.01,32.67,AAVEUSDT.json,AAVEUSDT,1,58.01,58.01,58.01,SELL
2023-08-27 17:23:00,58.01,58.05,58.01,58.04,763.437,AAVEUSDT.json,AAVEUSDT,1,58.0175,58.0175,58.0175,SELL
2023-08-27 17:24:00,58.04,58.05,58.03,58.04,619.252,AAVEUSDT.json,AAVEUSDT,1,58.022000000000006,58.022000000000006,58.022000000000006,SELL
2023-08-27 17:25:00,58.03,58.03,58.02,58.03,63.036,AAVEUSDT.json,AAVEUSDT,1,58.02333333333333,58.02333333333333,58.02333333333333,SELL
2023-08-27 17:26:00,58.02,58.02,57.99,58.01,623.904,AAVEUSDT.json,AAVEUSDT,1,58.021428571428565,58.021428571428565,58.021428571428565,SELL
2023-08-27 17:27:00,57.99,58.0,57.98,57.98,3230.5800000000004,AAVEUSDT.json,AAVEUSDT,1,58.01625,58.01625,58.01625,SELL
2023-08-27 17:28:00,58.0,58.0,57.98,57.98,54.116,AAVEUSDT.json,AAVEUSDT,1,58.01222222222222,58.01222222222222,58.01222222222222,SELL
2023-08-27 17:29:00,57.97,57.97,57.94,57.95,376.614,AAVEUSDT.json,AAVEUSDT,1,58.00599999999999,58.00599999999999,58.00599999999999,SELL
2023-08-27 17:30:00,57.95,57.99,57.95,57.96,1584.512,AAVEUSDT.json,AAVEUSDT,1,58.00181818181818,58.00181818181818,58.00181818181818,SELL
2023-08-27 17:31:00,57.94,57.94,57.92,57.93,57.915,AAVEUSDT.json,AAVEUSDT,1,57.99583333333334,57.99583333333334,57.99583333333334,SELL
2023-08-27 17:32:00,57.92,57.92,57.89,57.89,65.46000000000001,AAVEUSDT.json,AAVEUSDT,1,57.98769230769231,57.98769230769231,57.98769230769231,SELL
2023-08-27 17:33:00,57.9,57.92,57.89,57.89,399.13,AAVEUSDT.json,AAVEUSDT,1,57.980714285714285,57.980714285714285,57.980714285714285,SELL
2023-08-27 17:34:00,57.88,57.88,57.83,57.83,3521.952,AAVEUSDT.json,AAVEUSDT,1,57.970666666666666,57.970666666666666,57.970666666666666,SELL
2023-08-27 17:35:00,57.84,57.86,57.84,57.86,86.856,AAVEUSDT.json,AAVEUSDT,1,57.96375,57.96375,57.96375,SELL
2023-08-27 17:36:00,57.87,57.89,57.87,57.89,34.72,AAVEUSDT.json,AAVEUSDT,1,57.95941176470588,57.95941176470588,57.95941176470588,SELL
2023-08-27 17:37:00,57.88,57.9,57.88,57.9,20.105,AAVEUSDT.json,AAVEUSDT,1,57.95611111111111,57.95611111111111,57.95611111111111,SELL
2023-08-27 17:38:00,57.9,57.91,57.9,57.91,126.678,AAVEUSDT.json,AAVEUSDT,1,57.95368421052631,57.95368421052631,57.95368421052631,SELL
2023-08-27 17:39:00,57.9,57.9,57.89,57.89,180.26800000000003,AAVEUSDT.json,AAVEUSDT,1,57.9505,57.9505,57.9505,SELL
2023-08-27 17:40:00,57.91,57.92,57.91,57.92,0.664,AAVEUSDT.json,AAVEUSDT,1,57.94904761904762,57.94904761904762,57.94904761904762,SELL
