,time,open,high,low,close,volume,filename,coin,minutelyInterval,ma50,ma100,ma200
0,2023-08-24 03:00:00,1.0058,1.0061,1.0056,1.0057,734889.2000000001,ARBUSDT.json,ARBUSDT,5,1.0057,1.0057,1.0057
1,2023-08-24 03:05:00,1.0058,1.0064,1.0058,1.0063,79187.2,ARBUSDT.json,ARBUSDT,5,1.006,1.006,1.006
2,2023-08-24 03:10:00,1.0064,1.0079,1.0064,1.0078,523231.8,ARBUSDT.json,ARBUSDT,5,1.0066,1.0066,1.0066
3,2023-08-24 03:15:00,1.0078,1.0083,1.0073,1.0083,223061.9,ARBUSDT.json,ARBUSDT,5,1.007025,1.007025,1.007025
4,2023-08-24 03:20:00,1.0082,1.009,1.0082,1.0086,374281.1,ARBUSDT.json,ARBUSDT,5,1.00734,1.00734,1.00734
5,2023-08-24 03:25:00,1.0086,1.0094,1.0082,1.009,1141905.2,ARBUSDT.json,ARBUSDT,5,1.0076166666666666,1.0076166666666666,1.0076166666666666
6,2023-08-24 03:30:00,1.0091,1.0096,1.0091,1.0096,175278.19999999998,ARBUSDT.json,ARBUSDT,5,1.0079,1.0079,1.0079
7,2023-08-24 03:35:00,1.0097,1.01,1.0095,1.0097,452806.4,ARBUSDT.json,ARBUSDT,5,1.008125,1.008125,1.008125
8,2023-08-24 03:40:00,1.0098,1.0098,1.0092,1.0098,1460459.2,ARBUSDT.json,ARBUSDT,5,1.0083111111111112,1.0083111111111112,1.0083111111111112
9,2023-08-24 03:45:00,1.0098,1.0098,1.009,1.0092,346074.0,ARBUSDT.json,ARBUSDT,5,1.0084,1.0084,1.0084
10,2023-08-24 03:50:00,1.0093,1.0096,1.0089,1.0096,132840.5,ARBUSDT.json,ARBUSDT,5,1.008509090909091,1.008509090909091,1.008509090909091
11,2023-08-24 03:55:00,1.0096,1.0102,1.0094,1.0101,11568732.2,ARBUSDT.json,ARBUSDT,5,1.0086416666666667,1.0086416666666667,1.0086416666666667
12,2023-08-24 04:00:00,1.0102,1.0107,1.009,1.009,3411387.4,ARBUSDT.json,ARBUSDT,5,1.0086692307692309,1.0086692307692309,1.0086692307692309
13,2023-08-24 04:05:00,1.009,1.009,1.0081,1.0086,1109537.5,ARBUSDT.json,ARBUSDT,5,1.0086642857142858,1.0086642857142858,1.0086642857142858
