time,open,high,low,close,volume,filename,coin,minutelyInterval
2023-08-24 01:38:00,0.4813,0.4813,0.481,0.4811,180928.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:39:00,0.4813,0.4814,0.4811,0.4812,47714.399999999994,STXUSDT.json,STXUSDT,1
2023-08-24 01:40:00,0.4811,0.4811,0.4808,0.4808,363713.39999999997,STXUSDT.json,STXUSDT,1
2023-08-24 01:41:00,0.4807,0.4808,0.4807,0.4807,1668.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:42:00,0.4807,0.4809,0.4807,0.4809,15747.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:43:00,0.4807,0.4807,0.4806,0.4806,406056.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:44:00,0.4805,0.4805,0.4805,0.4805,23.1,STXUSDT.json,STXUSDT,1
2023-08-24 01:45:00,0.4805,0.4805,0.4805,0.4805,1629.2,STXUSDT.json,STXUSDT,1
2023-08-24 01:46:00,0.4805,0.4805,0.4804,0.4804,28210.800000000003,STXUSDT.json,STXUSDT,1
2023-08-24 01:47:00,,,,,0.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:48:00,0.4804,0.4804,0.4804,0.4804,689.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:49:00,0.48,0.4802,0.48,0.4802,4944.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:50:00,0.4802,0.4802,0.4802,0.4802,69.2,STXUSDT.json,STXUSDT,1
2023-08-24 01:51:00,0.4802,0.4803,0.4802,0.4803,346556.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:52:00,,,,,0.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:53:00,0.4802,0.4802,0.4801,0.4802,2475.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:54:00,,,,,0.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:55:00,0.48,0.48,0.4799,0.4799,10433.2,STXUSDT.json,STXUSDT,1
2023-08-24 01:56:00,0.4801,0.4801,0.4798,0.4798,55347.299999999996,STXUSDT.json,STXUSDT,1
2023-08-24 01:57:00,0.48,0.48,0.4798,0.4798,855.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:58:00,,,,,0.0,STXUSDT.json,STXUSDT,1
2023-08-24 01:59:00,0.4797,0.4798,0.4797,0.4798,22801.8,STXUSDT.json,STXUSDT,1
2023-08-24 02:00:00,0.4798,0.48,0.4798,0.48,315.9,STXUSDT.json,STXUSDT,1
2023-08-24 02:01:00,,,,,0.0,STXUSDT.json,STXUSDT,1
2023-08-24 02:02:00,0.4801,0.4801,0.48,0.4801,15302.5,STXUSDT.json,STXUSDT,1
2023-08-24 02:03:00,0.4801,0.4801,0.4801,0.4801,22.9,STXUSDT.json,STXUSDT,1
2023-08-24 02:04:00,0.4801,0.4801,0.4801,0.4801,1166.8,STXUSDT.json,STXUSDT,1
