time,open,high,low,close,volume,filename,coin,minutelyInterval
2023-08-27 05:18:00,0.9515,0.9515,0.9515,0.9515,34732.5,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:19:00,0.9515,0.9515,0.9513,0.9514,4252.0,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:20:00,0.9514,0.9519,0.9514,0.9518,42459.9,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:21:00,0.9519,0.9526,0.9519,0.9524,564920.0,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:22:00,0.9524,0.9527,0.9524,0.9527,6957.3,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:23:00,0.9527,0.9535,0.9527,0.9532,870316.7999999999,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:24:00,0.9532,0.9536,0.9532,0.9536,102645.0,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:25:00,0.9533,0.9535,0.9533,0.9535,51798.6,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:26:00,0.9532,0.9532,0.9525,0.9527,138424.8,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:27:00,0.9525,0.9527,0.9525,0.9526,304478.8,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:28:00,0.9526,0.9527,0.9526,0.9527,1399.5,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:29:00,0.9527,0.9527,0.9526,0.9527,4906.3,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:30:00,0.9527,0.9542,0.9527,0.9534,4332086.7,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:31:00,0.9534,0.9541,0.9528,0.9541,4134963.0,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:32:00,0.9541,0.9541,0.9538,0.9539,150588.0,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:33:00,0.9537,0.9543,0.9537,0.9542,1904486.4000000001,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:34:00,0.9542,0.9544,0.9541,0.9544,25464.600000000002,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:35:00,0.9545,0.9546,0.9545,0.9545,97260.4,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:36:00,0.9545,0.9545,0.9537,0.9542,1174664.9000000001,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:37:00,0.9543,0.9544,0.9542,0.9544,27717.0,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:38:00,0.9547,0.9547,0.9544,0.9544,1290.9,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:39:00,0.9543,0.9546,0.954,0.9546,48197.600000000006,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:40:00,0.9546,0.9546,0.9541,0.9543,875504.7999999999,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:41:00,0.9542,0.9542,0.9534,0.9534,473312.0,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:42:00,0.9534,0.9534,0.9521,0.9522,5409749.8,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:43:00,0.9521,0.9524,0.9521,0.9523,9868.0,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:44:00,0.9523,0.9538,0.9523,0.9538,4103387.4000000004,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:45:00,0.9538,0.9538,0.9538,0.9538,3232.4,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:46:00,0.9537,0.9537,0.9532,0.9534,216724.2,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:47:00,0.9534,0.9536,0.9534,0.9535,37978.200000000004,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:48:00,0.9535,0.9535,0.9528,0.9531,80897.6,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:49:00,0.9531,0.9533,0.9526,0.9529,1379929.2000000002,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:50:00,0.953,0.953,0.953,0.953,3624.0000000000005,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:51:00,0.953,0.9532,0.953,0.9532,43717.5,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:52:00,0.9532,0.9533,0.9532,0.9533,391.0,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:53:00,0.9533,0.9534,0.9533,0.9534,39574.700000000004,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:54:00,0.9535,0.9541,0.953,0.953,974730.7999999999,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:55:00,0.9529,0.9533,0.9528,0.9533,18645.6,ARBUSDT.json,ARBUSDT,1
2023-08-27 05:56:00,0.9534,0.9534,0.9531,0.9531,792991.4,ARBUSDT.json,ARBUSDT,1
