time,open,high,low,close,volume,filename,coin,minutelyInterval
2023-08-22 14:00:00,0.4621,0.466,0.4619,0.466,10148946.6,STXUSDT.json,STXUSDT,5
2023-08-22 14:05:00,0.4656,0.4656,0.4631,0.4633,559681.5,STXUSDT.json,STXUSDT,5
2023-08-22 14:10:00,0.4632,0.4646,0.4627,0.4643,523649.2,STXUSDT.json,STXUSDT,5
2023-08-22 14:15:00,0.4643,0.4651,0.4636,0.4649,260811.5,STXUSDT.json,STXUSDT,5
2023-08-22 14:20:00,0.4647,0.4652,0.4642,0.4645,242009.7,STXUSDT.json,STXUSDT,5
2023-08-22 14:25:00,0.4644,0.465,0.4636,0.4639,851792.5,STXUSDT.json,STXUSDT,5
2023-08-22 14:30:00,0.4636,0.4636,0.4629,0.4635,418128.5,STXUSDT.json,STXUSDT,5
2023-08-22 14:35:00,0.4636,0.4644,0.4626,0.4629,429111.3,STXUSDT.json,STXUSDT,5
2023-08-22 14:40:00,0.463,0.4634,0.4615,0.463,476835.8,STXUSDT.json,STXUSDT,5
2023-08-22 14:45:00,0.4632,0.4634,0.4622,0.4628,131529.4,STXUSDT.json,STXUSDT,5
2023-08-22 14:50:00,0.4625,0.4637,0.4621,0.4634,132876.5,STXUSDT.json,STXUSDT,5
2023-08-22 14:55:00,0.4634,0.4636,0.4628,0.4631,53674.1,STXUSDT.json,STXUSDT,5
2023-08-22 15:00:00,0.4629,0.464,0.4629,0.464,143351.5,STXUSDT.json,STXUSDT,5
2023-08-22 15:05:00,0.4635,0.4644,0.4633,0.4644,24159.8,STXUSDT.json,STXUSDT,5
2023-08-22 15:10:00,0.4644,0.4647,0.464,0.4647,118509.8,STXUSDT.json,STXUSDT,5
